entry,language,meaning_1,meaning_2,mark,split
hunan,Welsh,(one)self,"(one’s) own, belonging to oneself",0,train
асыллы,Nogai,породистый племенной,родовитый,0,train
елленуьв,Nogai,становиться ветреным о погоде,впасть в тихое помешательство,1,train
апака,Osetian,распахнуть,растянуть,0,train
ойнав,Nogai,играть забавляться развлекаться,театр игра,0,train
ön,Azeri,перед,у около кого л чего л около вокзала около магазина,1,train
аууон,Osetian,тень,затенять,0,train
фескъуийын,Osetian,порваться прорваться лопнуть,оборваться,0,train
бурда́й,Botlih,заставить взлететь вспугнуть птицу,поднять в воздух,0,train
nogulēt,Latvian,проспать,отлежать отлежать руку,0,train
açıq-aşkar,Azeri,очевидный факт очевидный факт,явно явно показать,0,train
vala,Zulu,закрывать,подавлять,1,train
tekėti,Lithuanian,течь,всходить (солнце),1,train
knob,Danish,узел на канате и тп,узел скорость судна,1,train
əbəd,Azeri,вечность,вечно навечно навсегда,0,train
i-sondo,Zulu,копыто,колесо,1,train
kaukti,Lithuanian,выть,гудеть,0,train
um-phimbo,Zulu,горло,желание,1,train
qəhvədan,Azeri,кофейник фарфорный кофейник,чайник,0,train
кiи́,Botlih,наклон,вогнутость,0,train
qha,Zulu,нет,ну ладно,0,train
goga,Zulu,мешать препятствовать,лишаться сил,1,train
qomisa,Zulu,помогать в выборе,ухаживать за девушкой,1,train
quldurluq,Azeri,разбой грабёж разбой на дороге международный разбой морской разбой пиратство,разбойничество промысел разбойника,0,train
ubegavet,Danish,бездарно глупо,бездарный неумный,0,train
tiesnesis,Latvian,судья народный судья судейская должность,арбитр,0,train
molvekt,Norwegian,момент,элемент спортивной гимнастики определённой степени сложности А В С элемент группы А В,0,train
kopšana,Latvian,уход,обработка возделывание,0,train
i-galaji,Zulu,автомастерская,бензозаправочная станция гараж,0,train
qurtarmaq,Azeri,кончать кончить оканчивать окончить заканчивать закончить завершать завершить закончить ремонт кончить дела окончить университет,иссякать иссякнуть иссякли кончились деньги,0,train
graužtis,Lithuanian,грызться,расстраиваться,1,train
senaj,Azeri,сенаж провяленная и законсервированная трава заготовленная для корма скота,сенажный сенажная башня сенажная масса сенажный рацион,0,train
sige,Danish,говорить сказать,означать,1,train
išsipūtimas,Lithuanian,раздутие,вздутие,0,train
aizšauties,Latvian,умчаться унестись,промчаться пронестись,0,train
καταθεάομαι,Ancient greek,сверху смотреть взирать наблюдать,следить наблюдать,0,train
беццата́б,Botlih,лестный хвалебный,похвальный достойный похвалы хвалёный,0,train
i,Norwegian,лука Амура,сексолог,0,train
չափաբերություն,Armenian,Равномерность размеренность,Метрика,0,train
kilkələnmək,Azeri,лохматиться взлохмачиваться взлохматиться растрепаться всклокочиваться всклокочиться,запутываться запутаться спутываться спутаться о нитках,1,train
pieplūdums,Latvian,прилив р прилив крови,наплыв наплыв публики на выставку,0,train
битіи́,Botlih,прямо,правильно,1,train
εἰσορμίζομαι,Ancient greek,входить в порт,о кораблях входить укрываться,0,train
svērties,Latvian,взвешиваться,наклоняться крепиться З перен склоняться,0,train
ἀκρίβεια,Ancient greek,точный смысл,мелочность педантизм,0,train
qhuma,Zulu,лопаться,вырастать прорастать,1,train
сардауын,Osetian,натравить науськать,донести,0,train
do1,Welsh,"yes, yea (expressing an affirmative answer to questions in the past tense when there is emphasis on the verb)",in answer to a question in which the verb is in the present tense,0,train
-shaqa,Zulu,быть едким кислым на вкус,быть удивл нным пораж нным,1,train
mail,Azeri,наклонный,с цветообозначениями черноватый желтоватый,1,train
prydyddol,Welsh,"poetic, poetical",metrical,0,train
мисикiа́б,Botlih,наверное,неужели неужто разве,0,train
femmer,Norwegian,пятёрка,пятёрка отметка в норвежской средней школе на шкале,0,train
landskap,Norwegian,местность,провинция область,0,train
tvirtumas,Lithuanian,крепость,прочность,1,train
bant3,Welsh,"high place or ground, height","prominent, high, upland (adj.)",0,train
πλευρά,Ancient greek,ребро,фланг,1,train
мату́шка,Botlih,русская женщина,дама в карт играх,1,train
parallel,Danish,параллель в математике,сравнение сходство,0,train
агарув,Nogai,белеть становиться белым,рассвет,1,train
гура́й,Botlih,вы гнуть,опустить отсучить,0,train
дурыслав,Nogai,исправлять поправлять налаживать,подтверждение подкрепление,0,train
khafula,Zulu,выплевывать сплевывать,кричать на кого л,1,train
suniurkyti,Lithuanian,сминать,скомкать,0,train
цæгъдæг,Osetian,бьющий,уничтожающий истребляющий,0,train
i-sonto,Zulu,церковь храм,воскресенье неделя большинство людей ходит в церковь по воскресеньям,1,train
նորակերպ,Armenian,Новомодный,Новомодно,0,train
անպատիվ,Armenian,Бесчестный лишённый чести,Позорный постыдный постыдный поступок обесчестить оскорбить быть оскорблённым,0,train
букьа́й,Botlih,жечь печь опалить обжигать,сделать горьким,1,train
krigen,Norwegian,пламя сварочной горелки,сварной шов ь сварное соединение,0,train
δρῦς,Ancient greek,дерево,дуб,1,train
երկամյակ,Armenian,Двухлетие,Двулетка,0,train
μέγιστον,Ancient greek,весьма крайне чрезвычайно в высшей степени,могущественно,0,train
beddrod,Welsh,"tomb, vault, grave, also fig.",cemetery,0,train
noniecināt,Latvian,умалить умалять,пренебречь пренебрегать,0,train
deling,Norwegian,делить раздел ять М ипА на части разделить слово на слоги при переносе,разделить десять на,0,train
priverti,Lithuanian,притворить,прищемить,0,train
анталатув,Nogai,зверь,дичь,0,train
риуджын,Osetian,с сильной развитой грудью,перен дерзкий нахальный,1,train
базласув,Nogai,соревноваться состязаться,соревнование состязание,0,train
ацъирын,Osetian,пососать,выпить,0,train
stipti,Lithuanian,околевать,коченеть,0,train
б=агьиха́=б,Botlih,кажущийся,острый отточенный,1,train
albert,Norwegian,локоть,колено О он умеет пробиваться в жизни,1,train
на́пс,Botlih,народ,потомство,1,train
knipe,Norwegian,сгибать согнуть,ломать с давипА раз,0,train
δίχα,Ancient greek,отлично от несходно с вразрез с,вдали отдельно от,0,train
æрбайтындзын,Osetian,распластать,развернуть,0,train
pupiņa,Latvian,фасоль,натуральный кофе кофе в зёрнах,1,train
lalela,Zulu,находиться в засаде,слушать,1,train
кадирли,Nogai,почтённый достойный уважения уважаемый,дорогой уважаемый,0,train
ratiņi,Latvian,тележка,детская коляска,0,train
ὥριος,Ancient greek,своевременный поспевающий вовремя,благоприятный,0,train
εὐήνιος,Ancient greek,слушающийся повода легко управляемый послушный,кроткий,0,train
կծկվել,Armenian,Сворачиваться свернуться сматываться в клубок в комок,Судорожно сокращаться сократиться,0,train
канатлы,Nogai,крылатый имеющий крылья,пернатый,0,train
lahla,Zulu,выбрасывать отбрасывать,бросать,0,train
պճնազարդվել,Armenian,Наряжаться нарядиться разряжаться разрядиться разодеваться разодеться,Разукрашиваться разукраситься,0,train
grąžinti,Lithuanian,вернуть,возвращать,0,train
ἐκδέχομαι,Ancient greek,принимать,поддерживать подпирать,1,train
ierakties,Latvian,окопаться окапываться взвод окопался,зарыться зарываться,0,train
altså,Danish,итак следовательно таким образом значит,в самом деле,0,train
ангьи́,Botlih,слышать услышать,прозвучать,0,train
elfennol,Welsh,"elementary (of book, &c.), rudimentary, introductory, simple",pertaining to the four elements or composed of one or more of them,0,train
ауынын,Osetian,увидеть заметить подметить,хорз ауынын хорошо угостить,0,train
dwl,Welsh,"dull, stupid, foolish, silly","dull, not clear, dark",1,train
кама́нда,Botlih,команда устный приказ,отряд подразделение,1,train
se,Danish,смотреть видеть,встречаться видеться,1,train
i-phethelo,Zulu,край кромка кайма,окраина пригород,1,train
фæхъус,Osetian,успокоиться,прислушаться,1,train
бахіа́рав,Botlih,жених молодожён,молодой,1,train
гьу́нцiцiи,Botlih,мёд,мёд фруктовый,0,train
цiцiи́,Botlih,чистый,настоящий подлинный,1,train
iawnfarn,Welsh,"true judgement, righteous judgement, good judgement, dependable opinion",orthodox,0,train
астырув,Nogai,велеть заставлять вешать,велеть заставлять поручать варить пищу готовить пищу,0,train
i,Norwegian,читать про,пробегать пробежать,0,train
qədər,Azeri,около до,со значением количественного предела около рабочих около двадцати учеников,0,train
дуныя,Nogai,мир вселённая,мир царство,0,train
cimi,Zulu,о затухании огня,о погружении в воду,1,train
ceza,Zulu,отколоть часть камня древесины,сворачивать с пути,1,train
i-zala,Zulu,место куда ссыпают золу,мусорная свалка,1,train
liekuļot,Latvian,лицемерить,лукавить,0,train
alela,Zulu,запрещать,лишать себя чего л,0,train
izsūtīt,Latvian,выслать высылать сослать ссылать,разослать рассылать,0,train
tüstü,Azeri,дымовой,сильно рассердиться,0,train
կտորտանք,Armenian,Обрезки обломки осколки,Лом,0,train
maksts,Latvian,ж футляр ножны кобура ножны кинжала кобура револьвера,вагина влагалище,1,train
ашык,Nogai,открытый раскрытый растворённый распахнутый,чёткий отчётливый разборчивый о почерке,1,train
herlod,Welsh,"young boy, lad, stripling, youth","knave, rogue, rascal, wretch",1,train
б=ила́й,Botlih,бросить выбросить выбрасывать мусор,бросать,0,train
dinc,Azeri,тихо спокойно смирно безмятежно сидеть спокойно,мирно мирно сосуществовать,0,train
izkustināt,Latvian,расшатать расшатывать расшатать вбитый гвоздь,сдвинуть сдвигать,0,train
niautis,Lithuanian,ссориться,драться,1,train
isi-sithibezo,Zulu,заслон,обман мистификация,1,train
qidalandırıcı,Azeri,питающий,питатель клапан регулирующий питание машины,0,train
pyllog1,Welsh,"full of hollows, uneven, rough",full of pools or ditches,0,train
и́,Botlih,взятый,купленный,0,train
u-mаmе,Zulu,моя наша мать,обращение к женщине своего клана обращение к теще свекрови,1,train
ganske,Danish,совсем совершенно целиком,вполне довольно,0,train
am-andla,Zulu,сила,могущество,0,train
hénger,Norwegian,склн взлъся ться слипатьсяМслипнуться,быть связанным с Т,0,train
κλίνω,Ancient greek,склонять наклонять,придвигать,0,train
gwabuka,Zulu,отскакивать отлетать при ударе,отказываться от обещания идти на попятную выпадать вываливаться,1,train
bezrocis,Latvian,безрукий,безрукавка беззаботность беспечность,0,train
шыгарув,Nogai,выводить выносить вывозить,выпускать,0,train
tippe,Danish,предполагать предсказывать,играть в Спортпрогноз,0,train
παραιτέομαι,Ancient greek,просить упрашивать,и просить о помиловании,0,train
i-gciwane,Zulu,мелкая частица в воздухе воде,болезнетворная частица микроб,1,train
фервæзын,Osetian,спастись,проскользнуть,0,train
պատկերազարդում,Armenian,Иллюстрирование,Иллюстрация,0,train
б=илълъи́,Botlih,мочь,понять,1,train
girti,Lithuanian,хвалить,расхваливать,0,train
vienytis,Lithuanian,объединяться,соединяться,0,train
jumts,Latvian,крыша а слуховое окно а кровельное железо,кровля,0,train
ба́са,Botlih,волос ы,брюнет баса́лълъи волосатый,0,train
sug,Norwegian,затяжка при курении затянуться трубкой,сосущее чувство посасываниеа,0,train
πρᾶξις,Ancient greek,дело,дельность опытность предприимчивость,0,train
unge,Danish,детишки,зверята молодняк,0,train
ῥεῦμα,Ancient greek,поток струя,извержение,0,train
хаст,Osetian,пленник,переноска,0,train
ligne,Norwegian,быть похожим походить на В,кн сходство,0,train
б=ечіера́б,Botlih,почернелый,поспевший о сливах винограде,1,train
hlanganisela,Zulu,окружать,собирать составлять смешивать,1,train
къи́,Botlih,у колоться,грузить,0,train
кунтiе́кiва,Botlih,мужчина,молодчик,0,train
libala,Zulu,ускользать из памяти забываться,медлить,1,train
եղբայրակից,Armenian,Собрат друг,Член братии брат,0,train
fullmaktskomiteen,Norwegian,уполномоченный доверенный,от шутл о статной полногрудой и разряженной женщине,0,train
forstumme,Danish,замолкать,онеметь от удивления,0,train
donmaq,Azeri,мёрзнуть замерзать замёрзнуть,сгущаться твердеть при охлаждении оцепенеть,1,train
ἑτοίμως,Ancient greek,с готовностью наготове,немедленно,0,train
keisti,Lithuanian,менять,обменивать,0,train
ὑφίημι,Ancient greek,спускать опускать,ослабевать смягчаться,1,train
сыстыр,Osetian,сделать большим вырастить взрастить,вознести,0,train
mijø,Norwegian,окружающая среда,вещество отравляющее окружающую среду,0,train
şahlıq,Azeri,шахский принадлежащий шахству шахская власть шахская династия шахский режим быть шахом царствовать,полновластно распоряжаться управлять по своему произволу в лесу царствовал лев,0,train
εἰσβάλλω,Ancient greek,бросать ввергать,нападать атаковать,1,train
балалы,Nogai,с ребёнком,с детёнышем с птенчиком,0,train
πάνσοφος,Ancient greek,чрезвычайно мудрый мудрейший хитроумнейший,принадлежащий мудрецу,0,train
кæрдын,Osetian,резать напр бумагу хлеб,крошить,0,train
isi-lo,Zulu,крупный хищник лев леопард,титул верховного вождя короля зулусов,1,train
гьала́да,Botlih,просто так так так себе,даром бесплатно,1,train
lūzums,Latvian,перелом разлом перелом кости,перен перелом резкий перелом,0,train
dérmed,Norwegian,умирать умеретьЬД,от падать,1,train
um-futho,Zulu,давильня,давление,0,train
şırımlı,Azeri,бороздовой производимый непосредственно в борозды бороздной бороздовой посев,бороздчатый покрытый бороздами бороздками изборождённый бороздчатая кора,0,train
б=икки́,Botlih,держать,присвоить,1,train
տղա,Armenian,Мальчик,Сын сынишка,1,train
ləvazimat,Azeri,принадлежности вещь предмет предназначенные для чего л письменные принадлежности школьные принадлежности чертёжные принадлежности канцелярские принадлежности кухонные принадлежности охотничьи принадлежности сценические принадлежности,снаряжение совокупность предметов приспособлений необходимых для чего л воинское снаряжение туристическое снаряжение спортивное снаряжение,0,train
kakao,Azeri,какао,тропическое дерево из семян которого приготовляется шоколад шоколадное дерево,0,train
азгырув,Nogai,искушать соблазнять совращать,подстрекать,0,train
ныдздзæгъæл,Osetian,затерять растерять,запутать разбросать,0,train
ակտիվացնել,Armenian,Активизировать,Активировать,0,train
klage,Danish,жалоба сетование,жаловаться сетовать,0,train
б=о́рчiир,Botlih,срыв,вывих,1,train
б=еччику́й,Botlih,набухнуть,намокнуть пропитаться влагой водой,0,train
алдын,Nogai,впереди во главе,прежде раньше,1,train
opera,Azeri,опера,театральное исполнение такого произведения,0,train
iesist,Latvian,вбить вколотить вбить гвоздь,ударить нанести удар,0,train
hamre,Danish,ковать забивать,стучать биться,0,train
imødelgå,Danish,противоречить противостоять,опровергать,0,train
išdribti,Lithuanian,вываливаться,выпадать,0,train
dirbti,Lithuanian,работать,делать,1,train
в=инси́,Botlih,найти обнаружить,оказаться кем чем л,1,train
зæрæстон,Osetian,место запустения,пахотная земля под паром залежь,0,train
dedzināt,Latvian,жечь сжигать в саду сухие листья,обжигать,0,train
kərpic,Azeri,кирпичный,напоминающий по форме кирпич кирпичный чай кирпичный хлеб,0,train
rhesog,Welsh,"striped, streaked","striated, ridged",0,train
apklotti,Lithuanian,покрывать,застилать,0,train
cragen,Welsh,ракушка,черепок,1,train
ἔσχατον,Ancient greek,наконец в конце концов,в последний раз,0,train
khexa,Zulu,быть удивленным изумленным,быть унылым подавленным,1,train
εἰσορμάω,Ancient greek,силой вносить твердой рукой вводить,устремляться врываться,0,train
vribar,Norwegian,поворотное устройство,дверная ручка,0,train
niķis,Latvian,каприз,норов,0,train
պղնձագործություն,Armenian,Занятие ремесло медника,Обработка меди,0,train
suatan,Azeri,водомёт,устройство приводимое в движение силой выбрасываемой воды,0,train
sugulovas,Lithuanian,любовник,сожитель,0,train
līdzjutējs,Latvian,сочувствующий соболезнующий,болельщик,1,train
уагъд,Osetian,отпущенный,разведённый о супругах,0,train
φρύαγμα,Ancient greek,фырканье храпение,надменность наглость,1,train
uzvilkt,Latvian,натянуть натягивать натянуть струны,надеть надевать надеть сапоги надеть пальто,1,train
maksāt,Latvian,платить платить по счёту,стоить сколько стоит почём во что бы то ни стало,0,train
факыр,Nogai,нищий бедный,нетрудоспособный непригодный а труду,1,train
тыхст,Osetian,спутанный запутанный,суетливый,1,train
фæихсийын,Osetian,иссякать истощаться,изнашиваться,0,train
fehleka,Zulu,обрушиваться обваливаться,быть в подавленном состоянии,1,train
ὁμοχρονέω,Ancient greek,отмечать одновременность событий в исторических сочинениях,совпадать по времени соблюдать такт,0,train
in-gubo,Zulu,накидка покрывало из мягкой кожи,одеяло,0,train
øverst,Norwegian,самый верхний,верховный,1,train
chanasa,Zulu,иметь свободу действий быть бесконтрольным,быть расточительным,0,train
isi-sindabiso,Zulu,мягкая трава для подтирания,туалетная бумага,0,train
հրացանաձիգ,Armenian,Ружейный стрелок,Стрелковый,0,train
bhebhetheka,Zulu,вспыхивать об огне,говорить со злостью,1,train
и́,Botlih,мать,матка самка производительница у животных,1,train
rank,Norwegian,стройный,таг валкий о судне,0,train
skryde,Danish,кричать реветь,хвастаться,1,train
լինել,Armenian,Бывать быть,Возникать возникнуть,0,train
derivasiya,Azeri,деривация,отклонение вправо снарядов и пуль при полете,1,train
dolefaf: dolefain,Welsh,"to cry out or aloud, shout, resound","loud call or shout, (doleful) cry",0,train
батæхын,Osetian,влететь впорхнуть залететь,вбежать,0,train
tēlotājs,Latvian,исполнитель исполняющий роль,а изобразительное искусство,0,train
pərişan,Azeri,размётанный,растроенный,1,train
mālzeme,Latvian,глинозём,глинистая почва,0,train
sidrumpa,Norwegian,вислозадый с отвислым задом,тяжёлый на подъём инертный нэ,1,train
bəhs,Azeri,спор пререкание препирательство начался спор спор научный спор,спорить с кем л,0,train
баиргъæвын,Osetian,разнять дерущихся,предостеречь предупредить,0,train
brecini1,Welsh,"the head of wort, wort",also fig,0,train
ἐπίστημα,Ancient greek,надгробная колонна могильная плита,эпистема украшение на носовой части корабля,0,train
i-sulumani,Zulu,мусульманин,араб,1,train
falsum,Danish,подделка подлог,фальсификация,0,train
lādēt,Latvian,заряжать,проклинать клясть,1,train
natura,Azeri,натурный,кино производимый снимаемый вне павильона натурная сцена натура фону натурный фон,0,train
адаскан,Nogai,заблудившийся,заблудший,0,train
culhaf: culhau,Welsh,"to become narrow or lean, shrink",lose fat,1,train
çay,Azeri,речной,относящийся к реке речная вода речная долина речные отложения,0,train
keršas,Lithuanian,пегий,рябой,0,train
kamuoti,Lithuanian,мучить,томить,1,train
dzinējs,Latvian,двигатель,погонщик погонщик скота,1,train
minti,Lithuanian,топтать (траву),мять (кожу),0,train
um-gwili,Zulu,нечто необычное,челов к со странностями чудак,0,train
kirayəli,Azeri,нанятый взятый или сданный внаем,взятый или сданный напрокат,0,train
pwysiad,Welsh,"a weighing, leaning (on), pressing, also fig.",weight,0,train
derēt,Latvian,годиться подходить,держать пари,0,train
чъырттым,Osetian,название птицы,скряга,1,train
rīt,Latvian,глотать,разг жрать,0,train
fuskeri,Danish,жульничество,левая работа,0,train
hola,Zulu,тянуть тащить,зарабатывать получать деньги,1,train
prisiplūkti,Lithuanian,намучиться,выбиваться из сил,0,train
crediniol,Welsh,"believing, faithful",believers,0,train
սիրագին,Armenian,Любезный приветливый,Любезно приветливо,0,train
svarstyti,Lithuanian,обсуждать,взвешивать,1,train
κατασιωπάω,Ancient greek,хранить молчание молчать,заставлять умолкнуть,0,train
рукiи́,Botlih,натрястись насыпаться,осыпаться о цветах зёрнах опасть о листьях,0,train
uziet,Latvian,подняться подниматься подняться на чердак,найти находить наткнуться,1,train
aplipt,Latvian,облипнуть облипать,заразиться заражаться,1,train
palaima,Lithuanian,благодать,блаженство,0,train
ми́,Botlih,язык средство общения,язык часть тела,1,train
ἀκρόπολις,Ancient greek,расположенная на возвышенности укрепленная часть города акрополь цитадель кремль,афинский Акрополь,0,train
æххæст,Osetian,полный целый,усовершенствованный,0,train
eiklus,Lithuanian,ходкий,быстроногий,0,train
təkrarlamaq,Azeri,повторять повторить,сказать исполнить сделать ещё раз то же самое повторить свой вопрос повторить песню часто повторять повторить несколько раз,0,train
азгырув,Nogai,искушать соблазнять совращать,искушение совращение,0,train
augums,Latvian,рост человек высокого роста он мал ростом,стан,0,train
oprejsning,Danish,реабилитация возмещение,поднятие сооружение,0,train
հաստատ,Armenian,Твёрдый прочный,Постоянный долговечный,1,train
համար,Armenian,Число счёт нет числа счёту нет,Номер номер задачи,0,train
stīpa,Latvian,обод обруч,дужка,0,train
omslag,Danish,обложка,компресс,0,train
æрттивгæ,Osetian,сияющий,блистательный,0,train
vieta,Lithuanian,"1. (sėdėjimui, pvz., teatre, autobuse) место",būti vietoje (atvykti) быть на месте,0,train
nuskriausti,Lithuanian,обижать,обидеть,0,train
evne,Danish,способность одарённость талант,возможность физическая сила,0,train
cyriog,Welsh,"bordered, having corners, angular",notched,0,train
къаппа-къуппа,Osetian,беспорядок,расхищение,0,train
ծածանում,Armenian,Реяние,Колебание колыхание,0,train
шашув,Nogai,разбрасывать рассыпать,транжирить растранжиривать,1,train
um-sindo,Zulu,шум,ссора свара,1,train
boşlamaq,Azeri,отпускать отпустить кого,переставать что л делать прекращать кончать брось курить оставить скверную привычку оставь эти мысли оставьте этот разговор,1,train
цæхæра,Osetian,свёкла,овощи зелень,1,train
cyfrinachaf: cyfrinachu,Welsh,"to tell or impart a secret, confide","confer, deliberate, conspire",0,train
iš anksto,Lithuanian,заранее,вперед,1,train
arrangere,Danish,организовывать мероприятие,устраивать размещать приводить в порядок,0,train
զորաբանակ,Armenian,Армия войско,Армия войсковое соединение,0,train
cydymgyrch,Welsh,"concourse, concurrence",united assault,0,train
kadensiya,Azeri,каденция,гармонический или мелодический оборот завершающий музыкальное построение придающий ему законченность цельность,0,train
ἀκέραιος,Ancient greek,беспримесный чистый,чистокровный,1,train
չորսանոց,Armenian,Четверной,Четвёрка игральная карта,0,train
suėsti,Lithuanian,"съедать, поедать, пожирать, сжирать",разъедать (кислота),1,train
jaukties,Latvian,мешаться смешиваться,вмешиваться мешаться вмешиваться,1,train
,Nogai,красивый миловйдный изящный,хороший хорошо ладно,1,train
ret,Danish,право напр международное суд правосудие закон,правота,1,train
ffansïol,Welsh,fanciful,"fantastic, imaginary",0,train
qırışdırmaq,Azeri,морщить сморщить морщинить сморщинить морщить лоб морщить лицо от боли,мять смять измять смять скатерть смять платье,0,train
kāja,Latvian,нога обуваться надевать сапоги,ножка бежать со,0,train
ծերակույտ,Armenian,Сенат в Древнем Риме,Ареопаг,0,train
экев,Nogai,два двое оба,помнить,0,train
hörgü,Azeri,кладка,гирлянда сплетённые в виде цепи цветы зелень ветви гирлянда цветов,0,train
ծանոթություն,Armenian,Знакомство,иметь знакомства,0,train
хъуытыргъан,Osetian,брезгливый,воздержанный,0,train
аксам,Nogai,сумерки вечер время после захода солнца,время пятой молитвы у мусульман,0,train
giriş,Azeri,вход,въезд место по которому въезжают куда л въезд в город въезд на завод,0,train
vindu,Norwegian,окно,прозрачный прямоугольник в конверте,0,train
varykla,Lithuanian,"прогон, выгон (животных)","перегонный завод, винокурня",0,train
prasība,Latvian,требование выполнить требования,потребность удовлетворять,0,train
икки́,Botlih,дать давать передать,предоставить,0,train
kyšėti,Lithuanian,торчать,выступать,0,train
apvertimas,Lithuanian,опрокидывание,перевертывание,0,train
pasikeisti,Lithuanian,измениться,перемениться,0,train
bortreise,Norwegian,отъезд,дорога в один конец туда в отличие от возвращения,0,train
тиленуьв,Nogai,нищенствовать попрошайничать,клянчить выпрашивать вымаливать,0,train
subay,Azeri,холостой,неженатый не вступивший в брак о мужчине холостой мужчина,0,train
kheba,Zulu,выдалбливать,иметь углубление выемку впадину,0,train
асыллас,Nogai,люди одного рода племени,животные одной породы,0,train
triekt,Latvian,ударить стукнуть,болтать беседовать,1,train
isi-bindi,Zulu,печень,смелость храбрость,1,train
abuojas,Lithuanian,"несносный, противный, отвратительный",тошный,0,train
nedlægge,Danish,прекращать завершать складывать полномочия,наложить напр вето,0,train
акомын,Osetian,согласиться пойти,уступить,0,train
ре́шкуй,Botlih,остановиться где л,остановиться на ночлег,0,train
flage,Norwegian,порыв ветра,передавать передать вруч ать ить,0,train
баныгæнæг,Osetian,закопавший,похоронивший,1,train
гъва́нди,Botlih,дотронуться прикоснуться,касаться коснуться задеть,0,train
arfollwr,Welsh,"ally, confederate, covenanter",conspirator,1,train
um-yocu,Zulu,царапина,потеря части тела увечье,0,train
iegrimt,Latvian,завязнуть,погрузиться погружаться,0,train
alverçi,Azeri,торговец торговка,перекупщик перекупщица спекулянт спекулянтка торгаш,0,train
uro,Danish,волнение беспокойство,суматоха шум,0,train
cred,Welsh,религия,кредит ссуда доверие,1,train
teithi1,Welsh,"(proper) characteristics, qualities, properties, attributes, traits, nature","(legal) value, price",0,train
şiddətli,Azeri,сильный значительный по напряжённости степени проявления величине сильный порывистый шквалистый ветер сильный крепкий лютый трескучий мороз сильный проливной дождь сильный ток,острый очень сильный мучительный нестерпимый невыносимый острая сильная боль,1,train
казув,Nogai,копать рыть,придираться подкапываться со злым умыслом,1,train
фындз,Osetian,нос,остриё,1,train
perlog,Welsh,"(shining) like a pearl or pearls, glistening",made of pearls,0,train
бу́хир,Botlih,снимание вынимание,отнимание взимание,0,train
lokkedueml,Norwegian,наживка приманка,приманка,0,train
uekte,Norwegian,ненастоящий подцельный фальшивый,неестественный искусственный манерный деланный,0,train
mpantsha,Zulu,быть проколотым иметь прокол,терпеть неудачу в деле получать прокол,1,train
pagrindas,Lithuanian,основа,основание,0,train
səhifə,Azeri,страничный страничный подсчет,постраничный постраничная нумерация,0,train
պաշտում,Armenian,Обожание,Поклонение,0,train
anghysondeb,Welsh,"inconsistency, anomaly, irregularity, incongruity, discrepancy, disagreement","discord, cacophony, dissonance",0,train
ἀλφάνω,Ancient greek,добывать доставлять приносить,навлекать на себя,0,train
priderėti,Lithuanian,подобать,следовать,1,train
ὅπως,Ancient greek,чтобы,когда в то время как как только,0,train
traeniaf1,Welsh,"to train, educate, discipline, rear","train, practice (in sport, &c.)",0,train
ацырен,Osetian,заставить поспешить,заставить закрутиться завертеться,0,train
yaxınlaşdırma,Azeri,приближение,ускорение чего,1,train
цъар,Osetian,пласт слой,оболочка,0,train
խոչ,Armenian,Камень выступ кочка на дороге,чинить препятствия ставить палки в колёса класть препоны устар,0,train
massiv,Norwegian,механик,машинное шитьё,0,train
nuka,Zulu,пахнуть издавать запах,нюхать,1,train
тæрф,Osetian,котловина,долина русло реки,0,train
ἐπαρκέω,Ancient greek,приходить на оказывать помощь помогать,уделять доставлять давать,0,train
paslaptis,Lithuanian,тайна,секрет,0,train
fulas,Norwegian,полный,пьяный,1,train
tənhalaşmaq,Azeri,опустеть стать безлюдным пустынным или малолюдным,становиться стать одиноким,1,train
vilkt,Latvian,тянуть тащить волочить тянуть проволоку тянуть жребий подтягивать буксировать,проводить линию надевать пальто снимать тянуть дело,0,train
տեղափոխվել,Armenian,Перемещаться переместиться переноситься перенестись переводиться перевестись перевозиться перевезтись,Переселяться переселиться переезжать переехать,0,train
pakelti,Lithuanian,поднять,выдерживать,1,train
objektīvs,Latvian,объектив,объективный объективные причины,0,train
ххе́ххи,Botlih,спешить,быстрый,1,train
u-devu,Zulu,верхняя губа,усы у животных,1,train
sambrūzdis,Lithuanian,суматоха,волнение,0,train
буліи́,Botlih,кончиться закончиться окончиться,проявиться,1,train
pramoga,Lithuanian,развлечение,увеселение,0,train
gaxa,Zulu,цеплять,вм шиваться в с,1,train
στρεπτός,Ancient greek,плетеный витой крученый,сговорчивый уступчивый,1,train
qeyri-müəyyən,Azeri,неопределённый неопределённая задача неопределённое обязательство неопределённый умысел лингв неопределённое местоимение неопределённое числительное неопределённый вид неопределённое наклонение,дипломатичный,0,train
афæлвæрд,Osetian,испытание,попытка,0,train
къвара́р,Botlih,узость узина узкое место,дефиле узкий проход,0,train
атонын,Osetian,порвать разорвать,вырвать отдёрнуть,0,train
vandet,Danish,водянистый,пошлый скучный,1,train
løve,Danish,лев,франт светский лев,1,train
хи́,Botlih,изменение мена,замена,0,train
б=игьи́,Botlih,сыпать,обстрелять закидать,1,train
πολυπλανής,Ancient greek,много странствовавший,бросающий из стороны в сторону заставляющий метаться,0,train
dördgünlük,Azeri,длящийся четыре дня четырехдневная командировка четырехдневный срок,рассчитанный на четыре дня четырехдневный запас,0,train
plate,Norwegian,лист,доска,1,train
amddyfrwys,Welsh,сильный,тяжелый,1,train
